name,location,date_start,date_end,link
Biometrics in the Bush Capital (TBA),"Canberra, ACT, Australia","2025-11-23","2025-11-29",https://biometricsociety.org.au//conference2025/
Biometrics in the Bay of Islands,"Bays of Island, Waitangi, New Zealand","2023-11-28","2023-12-01",https://biometricsboi.nz/
Biometrics by the Botanic Gardens,"Adelaide, SA, Australia","2019-12-03","2019-12-06",https://ausbiometric2019.netlify.app/
Biometrics by the Border,"Kingscliff, NSW, Australia","2017-11-26","2017-11-30",https://biometricsociety.org.au/archive/conferences/Kingscliff2017/biometric2017.org/index.html
Biometrics by the Harbour,"Hobart, TAS, Australia","2015-11-29","2015-12-03",https://biometricsociety.org.au/archive/conferences/Hobart2015/index.html
Biometrics by the Canals,"Mandurah, WA, Australia","2013-12-01","2013-12-05",https://biometricsociety.org.au/archive/conferences/Mandurah2013/index.html
Biometrics by the Blowholes,"Kiama, NSW, Australia","2011-12-04","2011-12-08",https://biometricsociety.org.au/archive/conferences/kiama2011/index.html
Biometrics by the Lake,"Lake Taupo, New Zealand","2009-11-29","2009-12-03",https://biometricsociety.org.au/archive/conferences/Taupo2009ConferenceTimetable.html
