name,term_start,term_end
Alison Kelly,2025,2026
David Warton,2026,2026
Louise McMillan,2025,2026
Ian Renner,2020,2026
Sam Rogers,2020,2026
Emi Tanaka,2018,2026
Warren Muller,2020,2026
Charley Budgeon,2022,2026
Peter Green,2025,2026
Chris Triggs,2021,2028
Samuel Muller,2020,2026
Kevin Murray,2017,2026
Vanessa Cave,2026,2026
